datum,lopen,stappen,fietsen,doel,totaal
17-11-14,3,451,0,5,3
18-11-14,28,4035,54,137,82
19-11-14,40,4674,22,106,62
20-11-14,65,8229,9,126,74
21-11-14,47,6046,0,78,47
22-11-14,62,8577,0,104,62
23-11-14,46,6429,0,77,46
24-11-14,53,5657,8,103,61
25-11-14,35,4150,17,88,52
26-11-14,38,4866,0,64,38
27-11-14,53,6394,15,114,68
28-11-14,29,4385,8,63,37
29-11-14,12,6224,0,21,12
30-11-14,7,1965,0,11,7
01-12-14,52,6037,11,106,63
02-12-14,68,7394,26,157,94
03-12-14,44,6780,14,97,58
04-12-14,73,8479,19,155,92
05-12-14,34,6226,35,116,69
06-12-14,42,5907,0,71,42
07-12-14,3,1740,0,5,3
